CITY,LEADINGGOV._HOSPT,LEADINGPVT._HOSPT,BEST_DISPENSARY,BEST_PHARMACY,BEST_CARDIOLOGIST,CONT._CARDIOLOGIST,EMAIL_CARDIOLOGIST,BEST_SURGEON,CONT._SURGEON,EMAIL_SURGEON
Jaipur,SMS hospital,Mahatma Gandhi Hospital,Dispensary 18,Jaipur Pharmacy,Dr. Amit,9351473894,amit2221@hotmail.com,Dr. Anil,8263748167,sharmaanil23@yahoo.co.in
Delhi,AIIMS,Aakash Hosp[itals,Dispensary 17,Plaza Pharmacy,Dr.Beena ,6372986374,beena2662@gmail.com,Dr.Singh,3620485672,singh11@yahoo.co.in
Chandigarh,PGIMER(Nehru),Chaitanya Hospital,Dispensary 47,Government Pharmacy,Dr.Radheshyam,2637495068,shyamradhe@yahoo.co.in,Dr.Sunil,3652836388,sunil666@gmail.com
Hydrabad,NIMS,Apollo Hospitals,Dispensary 19,Apollo Pharmacy,Dr.Teena,1112345987,teena1122@gmail.com,Dr.Radha,2227654785,radhaxyz@hotmail.com
Patna,AIIMS,Paras HMRI Hospital,Dispensary 22,HMRI Pharmacy,Dr.Yuwan,9414237645,yuwan22@yahoo.co.in,Dr.Tara,9352652378,tara98@gmail.com
Daman,Government Hospital,Atmaram Jog Memorial Hospital,Dispensary 39,Government Pharmacy,Dr.Mahima,2317658906,mahima88@yahoo.co.in,Dr.Radhika,9414237956,radhika2323@gmail.com
Goa,Goa Medical College,Grace Intensive Cadiac Care Center,Dispensary 41,Grace Pharmacy,Dr.Rishi,5656437854,rishi786@hotmail.com,Dr.Teena,1232675438,teena56@yahoo.co.in
Ahmedabad,B.J medical College,GMERS Medical College,Dispensary 23,B.J Pharmacy,Dr.Aditya,4356972567,aditya2004@gmail.com,Dr.Anu,4356987156,23anu@hotmail.com
Bhavnagar,Government Medical College,Lara Hospital,Dispensary 24,Lara Pharmacy,Dr.Lara,3467458723,larasingh@yahoo.co.in,Dr.Vinita,9321564312,vinita767@gmai.com
Surat,Government Medical College,Care Hospitals,Dispensary 25,Care Pharmacy,Dr.Arvind,4589231213,arvind2003@hotmail.com,Dr.Keshav,5634122132,keshav2006@yahoo.co.in
Bhiwani,Government Medical College,MK Hospital,Dispensary 26,MK Pharmacy,Dr.Neena,3423432342,neena@gmail.com,Dr.Waashi,6757673490,waashi@yahoo.co.in
Faridabad,ESI Hospital,Metro Heart Institute,Dispensary 27,Metro Pharmacy,Dr.Minal,3452768565,45minal@yahoo.co.in,Dr.Naina,5847965486,naina2021@gmail.com
Panipat,ESI Hospital,Aman Hospital,Dispensary 28,ESI Pharmacy,Dr.Nalin,8785673847,nalinsharma@gmail.com,Dr.Sweety,9414567895,sweety33@hotmail.com
Jammu,Government Medical College,Bee Enn General Hospital,Dispensary 29,Bee Enn Pharmacy,Dr.Farhaan,6789065798,farhaan56@hotmail.com,Dr.Fanna,4563247845,fanna69@hotmail.in
Bengaluru,Bowring and Lady Curzon Hospital,Sri Jayadeva Institute of Cardiovascular Sciences,Dispensary 30,Bowring and Lady Curzon Pharmacy,Dr.Mohit,9999678543,mohit12@yahoo.co.in,Dr.Rose,6584259615,rose34@gmail.com
Pune,Government Medical College,Columbia Asia Hospital,Dispensary 31,Columbia Pharmacy,Dr.Vipin,4785961524,vipin23@gmail.com,Dr.Viru,1234567890,viru41@gmail.com
Imphal,Regional Institute of Medical Sciences,Shija Hospitals and Research Institute,Dispensary 32,Shija Pharmacy,Dr.Raj,4569871236,raj@gmail.com,Dr.Pari,9876543210,pari45@yahoo.co.in
Bhbneshwar,Hi Tech Medical College,Institute of Medical sciences and Sum Medical College,Dispensary 33,Hi Tech Pharmacy,Dr.Ragini,7459862135,2003ragini@hotmail.com,Dr.Siddharth,8585454565,sid34@gmail.com
Ludhiyana,Punjab University and Hospital,Deep Hospital,Dispensary 34,Punjab Pharmacy,Dr.Gunjan,7412589632,gunjan@gmail.com,Dr.Droupdi,7569842568,droupdi76@yahoo.co.in
